acc,bleu,meteor,f1,kt_corr,kt_pval,sp_corr,sp_pval,run
0.18016928657799275,0.18016928657799275,0.7005911594787034,0.12550772102526928,0.028617492946392573,0.7839580814187833,0.024788391777509067,0.44901249496171114,0
0.1777509068923821,0.1777509068923821,0.7082045770074782,0.15494989136853968,0.031035872632003195,0.7831519548569131,0.03143893591293833,0.4498186215235814,1
0.17291414752116083,0.17291414752116083,0.6984414886470498,0.1730127578549683,0.03184199919387345,0.7775090689238215,0.02720677146311971,0.44417573559048973,2
0.17049576783555018,0.17049576783555018,0.6985982354785246,0.14964811247994766,0.004433696090286174,0.7783151954856915,0.022370012091898428,0.45223700120919214,3
0.17412333736396615,0.17412333736396615,0.7044874378610763,0.1577116331674979,0.03345425231761385,0.7807335751713024,0.03325272067714631,0.44740024183797067,4
0.17533252720677148,0.17533252720677148,0.7078239061310392,0.16750400912722,0.022974607013301077,0.7855703345425241,0.024788391777509067,0.45223700120919214,5
0.17412333736396615,0.17412333736396615,0.7100631465806787,0.15870405774487775,0.021362353889560627,0.7815397017331729,0.04534461910519952,0.45062474808545167,6
0.17654171704957677,0.17654171704957677,0.7016212100855377,0.17348268735541497,0.025392986698911692,0.7823458282950433,0.028415961305925032,0.44901249496171114,7
0.18621523579201935,0.18621523579201935,0.7108020959290596,0.17004028782583255,0.014913341394598927,0.7871825876662645,0.017533252720677146,0.4538492543329326,8
0.16686819830713423,0.16686819830713423,0.6998969949393153,0.1431408843937114,0.011688835147118097,0.785570334542524,0.03990326481257558,0.4498186215235814,9
